Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HRMTestSuite,Chrome 63.0.3239.84,,2018-01-02 17:25:36,2018-01-02 17:26:05,29.221s,FAILED
,,,,,,
Test Cases/HRM_Login,Chrome 63.0.3239.84,,2018-01-02 17:25:36,2018-01-02 17:26:04,27.579s,FAILED
openBrowser,Chrome 63.0.3239.84,,2018-01-02 17:25:37,2018-01-02 17:25:46,8.674s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-02 17:25:46,2018-01-02 17:25:59,13.246s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:25:59,2018-01-02 17:25:59,0.118s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:25:59,2018-01-02 17:25:59,0.474s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-02 17:25:59,2018-01-02 17:26:00,0.143s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:26:00,2018-01-02 17:26:01,1.168s,PASSED
click,Chrome 63.0.3239.84,,2018-01-02 17:26:01,2018-01-02 17:26:01,0.136s,PASSED
verifyElementPresent,Chrome 63.0.3239.84,,2018-01-02 17:26:01,2018-01-02 17:26:01,0.079s,PASSED
verifyElementText,Chrome 63.0.3239.84,,2018-01-02 17:26:01,2018-01-02 17:26:04,2.588s,FAILED
