Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit,Chrome 63.0.3239.84,,2018-01-04 15:16:27,2018-01-04 15:16:51,24.016s,PASSED
,,,,,,
Test Cases/Test Case1,Chrome 63.0.3239.84,,2018-01-04 15:16:28,2018-01-04 15:16:43,14.202s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 15:16:30,2018-01-04 15:16:38,8.314s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 15:16:38,2018-01-04 15:16:41,2.808s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:41,2018-01-04 15:16:41,0.285s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:41,2018-01-04 15:16:41,0.171s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 15:16:41,2018-01-04 15:16:42,0.664s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 15:16:42,2018-01-04 15:16:43,0.759s,PASSED
,,,,,,
Test Cases/Test Case 2,Chrome 63.0.3239.84,,2018-01-04 15:16:43,2018-01-04 15:16:51,8.639s,PASSED
openBrowser,Chrome 63.0.3239.84,,2018-01-04 15:16:43,2018-01-04 15:16:45,2.383s,PASSED
navigateToUrl,Chrome 63.0.3239.84,,2018-01-04 15:16:45,2018-01-04 15:16:48,3.111s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:48,2018-01-04 15:16:49,0.262s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:49,2018-01-04 15:16:49,0.244s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 15:16:49,2018-01-04 15:16:50,0.703s,PASSED
selectOptionByValue,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:50,0.344s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:50,0.131s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:50,0.122s,PASSED
setText,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:50,0.128s,PASSED
click,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:50,0.096s,PASSED
closeBrowser,Chrome 63.0.3239.84,,2018-01-04 15:16:50,2018-01-04 15:16:51,0.839s,PASSED
