Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatalonGit2,Firefox 54.0,,2018-01-02 16:27:21,2018-01-02 16:27:58,36.987s,PASSED
,,,,,,
Test Cases/Login/Test Case1,Firefox 54.0,,2018-01-02 16:27:22,2018-01-02 16:27:43,21.556s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:27:23,2018-01-02 16:27:37,14.660s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:27:37,2018-01-02 16:27:39,1.848s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:39,2018-01-02 16:27:40,0.848s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:40,2018-01-02 16:27:40,0.092s,PASSED
click,Firefox 54.0,,2018-01-02 16:27:40,2018-01-02 16:27:43,2.988s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:27:43,2018-01-02 16:27:43,0.256s,PASSED
,,,,,,
Test Cases/Test Case 2,Firefox 54.0,,2018-01-02 16:27:43,2018-01-02 16:27:58,14.848s,PASSED
openBrowser,Firefox 54.0,,2018-01-02 16:27:43,2018-01-02 16:27:53,9.592s,PASSED
navigateToUrl,Firefox 54.0,,2018-01-02 16:27:53,2018-01-02 16:27:55,1.880s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:55,2018-01-02 16:27:55,0.158s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:55,2018-01-02 16:27:56,1.206s,PASSED
click,Firefox 54.0,,2018-01-02 16:27:56,2018-01-02 16:27:57,0.943s,PASSED
selectOptionByValue,Firefox 54.0,,2018-01-02 16:27:57,2018-01-02 16:27:58,0.292s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:58,2018-01-02 16:27:58,0.074s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:58,2018-01-02 16:27:58,0.087s,PASSED
setText,Firefox 54.0,,2018-01-02 16:27:58,2018-01-02 16:27:58,0.072s,PASSED
click,Firefox 54.0,,2018-01-02 16:27:58,2018-01-02 16:27:58,0.084s,PASSED
closeBrowser,Firefox 54.0,,2018-01-02 16:27:58,2018-01-02 16:27:58,0.232s,PASSED
